Komoditas,Luas Panen Padi,GKP Tingkat Petani,GKP Tingkat Penggilingan,GKG Tingkat Penggilingan,Beras Medium Penggilingan,Beras Premium Penggilingan,Jagung Pipilan Kering,Kedelai Biji Kering (Lokal),Bawang Merah,Cabai Merah Keriting,Cabai Rawit Merah,Sapi (Hidup),Ayam Ras Pedaging (Hidup),Telur Ayam Ras,Stok GKG Tingkat Penggilingan,Stok Beras Tingkat Penggilingan
10/05/2023,40,4.890,5.270,6.060,10.660,11.730,4.990,9.950,19.470,14.640,18.170,54.230,22.240,26.390,90,30
11/05/2023,40,4.890,5.270,6.060,10.660,11.730,4.990,10.490,19.240,14.680,17.970,54.160,22.560,26.340,80,30
12/05/2023,40,4.910,5.160,6.100,10.650,11.730,4.990,10.490,18.510,14.430,17.180,54.090,22.210,26.200,180,20
13/05/2023,40,4.910,5.290,6.060,10.830,11.800,4.910,10.490,19.240,14.940,18.550,54.160,22.470,26.720,80,30
14/05/2023,40,4.930,5.300,6.100,10.650,11.710,4.990,10.380,17.980,13.380,16.430,54.390,22.080,26.450,70,20
15/05/2023,40,4.950,5.310,6.090,10.600,11.690,4.990,10.380,18.470,15.870,22.890,54.390,22.180,26.890,50,20
16/05/2023,40,4.970,5.190,6.090,10.600,11.690,4.970,10.380,19.190,14.990,20.800,54.150,22.070,27.040,80,20
17/05/2023,40,5.100,5.310,6.080,10.610,11.680,5.060,10.380,18.800,16.430,21.410,54.090,22.060,27.170,60,30
18/05/2023,50,5.100,5.310,6.080,10.610,11.680,5.080,10.380,18.800,16.510,21.460,54.020,22.030,27.290,80,20
19/05/2023,40,5.130,5.340,6.080,10.680,11.710,4.970,10.380,18.340,17.760,21.150,54.090,22.030,27.490,100,30
20/05/2023,40,5.090,5.300,6.080,10.590,11.680,5.060,10.380,18.080,16.540,21.470,53.710,22.380,27.810,90,20
21/05/2023,40,5.100,5.320,6.080,10.610,11.680,5.040,10.380,17.640,17.740,23.420,53.810,22.490,27.510,70,20
22/05/2023,40,5.140,5.360,6.090,10.610,11.690,5.060,10.380,17.680,16.300,21.920,53.820,23.010,27.540,90,10
23/05/2023,40,5.160,5.370,6.090,10.590,11.690,5.040,10.380,17.620,16.340,22.460,54.080,23.270,28.090,90,20
24/05/2023,50,5.140,5.340,6.110,10.680,11.830,5.060,10.380,18.260,16.390,24.140,53.260,23.160,27.790,90,20
25/05/2023,40,5.110,5.300,6.040,10.550,11.660,5.050,10.220,18.140,16.180,21.810,53.810,23.090,27.690,90,30
26/05/2023,40,5.140,5.310,6.120,10.650,11.770,5.040,10.220,18.140,16.640,22.050,53.250,23.250,27.420,80,20
27/05/2023,40,5.110,5.310,6.140,10.640,11.770,5.030,10.220,17.450,14.790,22.100,53.840,23.240,27.630,70,30
28/05/2023,40,5.110,5.280,6.040,10.550,11.660,5.050,10.220,18.370,15.660,22.190,53.160,23.230,27.590,130,30
29/05/2023,40,5.100,5.310,6.120,10.650,11.770,4.960,10.220,17.740,13.110,22.680,53.910,22.770,27.600,70,20
30/05/2023,50,5.100,5.330,6.120,10.650,11.770,4.990,10.220,17.700,14.800,23.130,54.050,22.910,27.540,80,20
31/05/2023,40,5.120,5.360,6.120,10.650,11.770,5.010,10.220,17.820,14.020,23.200,53.980,22.630,27.570,80,20
01/06/2023,40,5.270,5.480,6.250,10.720,11.890,4.820,10.220,17.590,14.300,23.760,54.250,22.770,27.730,60,20
02/06/2023,40,5.170,5.400,6.200,10.720,11.800,4.980,10.220,17.820,13.380,23.430,53.330,22.910,27.430,60,20
03/06/2023,10,5.190,5.400,6.150,10.640,11.720,5.010,10.220,18.120,13.570,23.350,54.130,22.640,27.330,90,30
04/06/2023,10,5.190,5.410,6.210,10.730,11.820,4.990,10.220,18.720,14.540,23.040,53.100,23.110,27.260,70,30
05/06/2023,20,5.190,5.410,6.210,10.720,11.880,4.990,10.220,18.330,13.980,23.570,54.020,22.870,27.110,70,30
06/06/2023,20,5.220,5.450,6.210,10.730,11.880,4.990,10.220,18.200,14.160,23.810,54.080,23.020,27.310,70,20
07/06/2023,20,5.090,5.310,6.200,10.740,11.800,5.160,10.220,18.130,12.680,23.230,54.220,23.170,27.560,60,20
08/06/2023,20,5.230,5.450,6.210,10.720,11.870,5.160,10.220,20.000,15.240,26.310,54.250,23.020,27.360,80,20
09/06/2023,20,5.230,5.450,6.240,10.720,11.810,5.160,10.220,18.650,14.670,23.910,54.010,22.980,27.370,70,30
10/06/2023,20,5.230,5.450,6.200,10.730,11.870,5.170,10.220,19.230,14.270,23.840,53.180,23.840,27.410,60,30
11/06/2023,20,5.230,5.460,6.220,10.730,11.870,5.160,10.220,18.390,14.690,23.600,53.370,23.570,27.250,60,10
12/06/2023,20,5.230,5.450,6.220,10.740,11.870,5.180,10.220,20.100,14.020,23.040,53.430,23.570,27.180,70,40
13/06/2023,20,5.250,5.460,6.220,10.740,11.870,5.000,10.220,18.630,14.500,23.190,54.380,23.060,27.220,70,30
14/06/2023,20,5.220,5.470,6.190,10.650,11.710,4.930,10.220,20.260,14.900,24.990,54.710,23.210,26.970,90,30
15/06/2023,20,5.240,5.490,6.240,10.760,11.810,4.970,10.220,19.170,14.800,22.510,54.970,22.920,27.090,70,30
16/06/2023,20,5.250,5.480,6.190,10.810,11.830,5.040,10.220,20.780,16.150,24.330,54.970,23.370,26.570,90,30
17/06/2023,20,5.220,5.490,6.240,10.760,11.810,5.130,10.220,20.780,16.150,24.390,54.570,23.280,26.900,60,20
18/06/2023,20,5.220,5.490,6.240,10.760,11.810,5.130,10.220,20.850,14.790,22.850,55.480,22.880,26.910,50,20
19/06/2023,20,5.200,5.440,6.250,10.780,11.840,5.170,11.000,20.740,15.070,24.210,55.890,23.080,26.930,40,30
20/06/2023,20,5.240,5.470,6.240,10.780,11.590,5.130,10.220,21.070,14.880,22.940,56.000,22.920,26.840,70,20
21/06/2023,20,5.250,5.460,6.260,10.780,11.800,5.300,11.000,20.280,14.660,22.630,55.170,23.510,26.710,70,20
22/06/2023,20,5.330,5.510,6.290,10.780,11.880,5.170,10.220,20.560,14.580,22.890,55.320,23.610,26.890,70,20
23/06/2023,20,5.360,5.510,6.290,10.780,11.800,5.170,10.220,20.990,15.870,23.930,55.960,23.540,27.100,60,20
24/06/2023,10,5.510,5.660,6.370,10.810,12.020,5.170,10.220,21.170,15.650,23.980,55.540,24.140,27.210,60,20
25/06/2023,20,5.360,5.530,6.300,10.810,11.910,5.170,10.220,21.210,16.390,24.820,55.970,23.880,27.380,60,20
26/06/2023,20,5.360,5.530,6.300,10.790,11.840,5.170,10.220,22.340,15.690,25.110,56.230,24.350,27.430,70,20
27/06/2023,20,5.360,5.530,6.310,10.750,11.820,5.170,10.220,21.840,15.470,23.010,56.790,24.430,27.580,60,20
28/06/2023,20,5.360,5.540,6.300,10.770,11.880,5.170,10.220,21.980,15.660,23.080,56.510,25.070,27.620,50,20
29/06/2023,20,5.360,5.540,6.310,10.750,11.860,5.170,10.220,21.780,16.210,24.720,57.600,25.050,27.720,60,20
30/06/2023,10,5.360,5.540,6.320,10.920,11.920,5.230,10.220,21.780,15.540,23.760,56.970,24.920,27.670,40,20
01/07/2023,20,5.350,5.530,6.250,10.630,11.720,5.110,10.220,21.980,14.440,22.020,56.750,24.740,27.610,90,20
02/07/2023,10,5.190,5.370,6.340,10.730,11.860,5.150,10.490,21.980,17.380,21.050,57.150,24.850,27.630,40,20
03/07/2023,20,5.360,5.540,6.330,10.750,11.820,5.160,10.490,22.250,16.950,17.810,56.820,24.490,27.640,60,30
04/07/2023,20,5.330,5.530,6.320,10.690,11.870,5.260,11.000,22.330,18.070,18.620,55.550,24.720,27.730,50,20
05/07/2023,20,5.310,5.520,6.330,10.730,11.880,5.190,10.490,22.240,18.310,18.010,56.350,24.310,27.810,60,20
06/07/2023,20,5.310,5.520,6.330,10.720,11.840,5.160,10.490,22.070,17.430,17.180,55.640,24.690,27.790,50,20
07/07/2023,20,5.290,5.490,6.300,10.730,11.880,5.160,10.490,22.260,19.170,18.940,55.510,23.790,27.800,60,20
08/07/2023,20,5.450,5.630,6.390,10.720,11.990,5.140,10.490,21.650,18.240,18.970,55.030,24.560,27.950,30,10
09/07/2023,20,5.270,5.460,6.290,10.700,11.870,5.160,10.490,22.310,20.150,21.610,54.410,24.200,27.880,50,20
10/07/2023,20,5.240,5.430,6.260,10.730,11.900,5.110,10.250,21.840,20.200,21.480,55.170,24.460,27.930,70,20
11/07/2023,20,5.280,5.420,6.290,10.730,11.920,5.080,10.250,21.100,19.210,19.790,55.050,24.410,28.290,50,20
12/07/2023,20,5.250,5.370,6.270,10.710,11.920,5.040,10.220,21.130,19.270,18.340,55.090,24.720,27.830,40,20
13/07/2023,20,5.190,5.340,6.340,10.740,11.910,5.010,9.990,21.690,19.190,16.660,54.790,24.460,28.220,70,30
14/07/2023,30,5.170,5.340,6.250,10.700,11.860,4.970,9.990,21.690,20.080,16.940,54.930,24.420,28.230,100,30
15/07/2023,20,5.190,5.340,6.280,10.840,11.910,5.020,9.990,21.690,20.170,17.040,54.830,24.430,28.200,50,20
16/07/2023,20,5.120,5.290,6.280,10.710,11.880,5.130,10.500,21.230,20.370,15.680,55.190,24.570,28.250,60,20
17/07/2023,20,5.120,5.320,6.250,10.640,11.910,5.010,9.990,21.050,19.010,16.110,54.690,24.600,28.240,80,20
18/07/2023,40,5.210,5.380,6.280,10.720,11.700,5.020,9.990,20.630,17.820,16.750,54.760,24.730,28.210,70,20
19/07/2023,30,5.190,5.350,6.250,10.640,11.640,4.990,9.990,20.240,18.900,16.500,54.520,24.540,28.210,80,30
20/07/2023,30,5.230,5.400,6.290,10.740,11.890,5.060,9.990,20.360,18.330,16.740,55.120,24.410,28.090,60,20
21/07/2023,30,5.220,5.390,6.290,10.640,11.800,5.050,9.990,19.690,18.040,17.230,54.290,24.360,28.050,70,30
22/07/2023,60,5.230,5.410,6.310,10.740,11.990,5.010,9.990,19.260,18.250,16.960,54.510,24.070,28.070,50,20
23/07/2023,60,5.230,5.440,6.320,10.740,11.890,5.010,9.990,19.170,17.220,17.510,54.530,23.800,28.190,60,30
24/07/2023,60,5.230,5.410,6.310,10.740,11.840,5.080,9.990,18.510,17.190,17.630,54.270,23.880,28.270,70,30
25/07/2023,60,5.230,5.410,6.280,10.700,11.830,5.010,9.990,18.950,17.310,18.000,53.630,24.150,28.260,90,30
26/07/2023,50,5.220,5.390,6.290,10.640,11.770,5.010,9.990,18.950,17.230,18.000,54.510,23.560,28.120,80,30
27/07/2023,50,5.310,5.500,6.290,10.720,11.810,4.960,9.990,18.720,16.670,17.630,54.340,23.900,28.040,70,20
28/07/2023,30,5.360,5.550,6.340,10.760,11.830,4.990,9.990,18.870,16.630,18.220,54.550,23.320,28.190,50,30
29/07/2023,50,5.360,5.530,6.350,10.770,11.850,4.990,9.990,18.730,16.500,17.840,54.450,23.420,28.020,60,20
30/07/2023,50,5.360,5.550,6.350,10.770,11.850,4.990,9.990,18.580,16.550,18.670,54.510,23.340,27.980,40,20
31/07/2023,60,5.340,5.550,6.320,10.680,11.820,5.010,9.990,18.100,16.020,18.290,53.690,23.070,28.100,50,30
01/08/2023,60,5.380,5.530,6.350,10.720,11.840,4.980,9.990,17.890,16.760,19.350,55.530,22.360,27.800,50,20
02/08/2023,50,5.420,5.700,6.360,10.720,11.850,5.000,9.990,17.280,17.170,18.700,54.330,22.450,27.970,50,20
03/08/2023,50,5.400,5.540,6.360,10.760,11.840,4.980,10.900,16.570,17.980,19.630,54.320,22.260,27.790,60,20
04/08/2023,20,5.440,5.570,6.380,10.780,11.850,4.980,9.990,16.730,17.850,21.760,54.040,22.250,27.920,60,20
05/08/2023,50,5.440,5.560,6.380,10.780,11.850,4.980,9.990,17.180,17.770,19.250,53.710,22.250,27.550,50,20
06/08/2023,50,5.440,5.570,6.410,10.800,11.850,4.980,9.990,16.400,17.700,21.070,54.170,22.380,27.700,50,20
07/08/2023,30,5.400,5.540,6.430,10.850,11.870,5.000,9.500,16.530,18.250,21.700,53.580,22.780,27.470,50,20
08/08/2023,30,5.400,5.510,6.310,10.880,11.870,4.980,10.140,16.530,18.150,22.150,54.170,22.350,27.770,70,30
09/08/2023,20,5.220,5.460,6.470,10.960,11.930,4.980,10.140,16.690,17.520,21.870,54.790,22.540,27.820,50,20
10/08/2023,40,5.390,5.640,6.490,11.010,11.980,4.980,10.140,16.690,17.660,22.550,54.110,22.770,27.560,70,20
11/08/2023,40,5.630,5.850,6.490,10.940,11.940,4.990,10.140,16.690,18.450,23.680,54.210,22.900,27.770,80,50
12/08/2023,40,5.610,5.850,6.490,10.960,11.970,5.040,10.140,17.290,18.790,23.090,53.400,23.290,27.500,80,40
13/08/2023,30,5.850,6.040,6.590,10.940,12.090,5.080,10.140,16.690,17.610,22.260,53.480,22.960,27.550,60,20
14/08/2023,30,5.430,5.670,6.510,11.000,12.030,5.010,10.380,14.550,18.690,26.100,54.010,23.050,27.140,60,20
15/08/2023,30,5.600,5.840,6.550,11.120,12.120,5.010,10.380,14.730,19.000,26.910,54.300,23.100,27.280,60,20
16/08/2023,60,5.680,5.940,6.620,11.230,12.170,5.050,11.000,14.730,18.650,26.720,54.230,22.850,26.980,70,20
17/08/2023,30,5.610,6.010,6.480,11.180,12.120,5.010,10.380,14.050,19.550,27.840,54.900,23.030,26.950,70,30
18/08/2023,30,5.630,5.890,6.580,11.220,12.150,5.010,10.380,13.720,20.220,28.610,54.010,22.950,26.710,50,20
19/08/2023,30,5.650,5.870,6.560,11.220,12.150,4.990,10.380,14.220,20.350,28.110,53.870,22.910,26.950,60,30
20/08/2023,30,5.650,5.900,6.580,11.170,12.200,4.990,10.380,14.710,19.170,28.500,54.010,22.910,26.430,50,30
21/08/2023,30,5.650,5.900,6.600,11.150,12.120,5.010,10.380,13.190,19.990,29.290,53.750,22.980,26.400,50,20
22/08/2023,30,5.660,5.970,6.660,11.200,12.160,5.090,10.380,13.780,20.810,29.450,53.750,23.330,26.400,40,20
23/08/2023,40,5.710,5.980,6.660,11.070,12.060,5.090,9.800,13.780,22.610,28.330,53.950,23.000,26.350,60,20
24/08/2023,40,5.770,6.080,6.810,11.210,12.310,5.090,9.800,13.780,21.910,24.560,53.740,22.930,26.200,50,20
25/08/2023,40,5.770,6.070,6.800,11.220,12.310,5.170,9.800,14.460,20.660,26.800,53.640,22.830,26.000,50,20
26/08/2023,40,5.810,6.120,6.840,11.370,12.370,5.170,9.800,14.200,21.840,25.060,53.890,22.950,25.970,70,10
27/08/2023,40,5.830,6.130,6.870,11.360,12.400,5.190,10.000,14.200,21.800,23.070,53.890,22.710,25.880,40,20
28/08/2023,40,5.810,6.210,6.940,11.480,12.430,5.230,10.000,13.440,22.440,23.300,53.820,22.840,25.630,60,30
29/08/2023,40,5.810,6.190,6.950,11.510,12.400,5.270,10.000,13.280,25.380,23.850,53.580,22.730,25.440,70,30
30/08/2023,40,5.810,6.080,6.970,11.550,12.510,5.250,10.000,12.280,26.470,24.400,53.840,22.400,25.310,60,30
31/08/2023,40,5.810,6.190,7.010,11.560,12.600,5.250,10.000,12.550,25.560,22.490,53.340,22.460,24.690,50,30
01/09/2023,20,5.890,6.190,7.050,11.570,12.600,5.230,11.400,13.800,25.730,22.210,52.810,22.380,24.310,60,20
02/09/2023,20,5.910,6.290,7.060,11.570,12.530,5.230,10.000,12.470,24.410,20.410,54.240,22.300,24.210,40,10
03/09/2023,20,5.910,6.210,7.080,11.570,12.670,5.170,10.000,12.110,24.400,20.470,52.880,22.610,24.150,50,10
04/09/2023,20,5.930,6.260,7.120,11.640,12.680,5.190,10.000,11.830,23.920,19.260,53.720,22.570,24.700,40,20
05/09/2023,20,5.960,6.290,7.130,11.630,12.680,5.190,10.000,11.610,24.440,19.470,53.510,22.170,24.420,60,10
06/09/2023,20,6.060,6.370,7.200,11.790,12.700,5.210,10.000,11.830,23.010,18.820,53.720,22.170,24.520,40,10
07/09/2023,20,6.090,6.510,7.290,11.910,12.860,5.050,10.590,11.830,21.770,19.670,53.510,22.100,24.600,50,20
08/09/2023,20,6.090,6.410,7.260,11.970,12.920,5.200,10.200,11.830,21.240,19.500,53.580,22.310,24.410,50,10
09/09/2023,20,6.060,6.470,7.350,11.910,12.980,5.230,10.590,11.580,21.120,20.050,53.520,22.270,24.410,50,10
10/09/2023,20,6.240,6.380,7.360,11.990,13.150,5.180,10.750,11.930,19.860,18.370,53.450,22.190,24.510,60,20
11/09/2023,30,6.340,6.530,7.470,12.020,13.240,5.210,10.590,11.930,19.580,18.320,53.350,22.210,24.350,110,20
12/09/2023,40,6.560,6.690,7.700,12.160,13.270,5.400,11.000,11.400,19.040,19.510,53.600,22.210,24.150,70,20
13/09/2023,30,6.440,6.650,7.630,12.200,13.230,5.370,10.750,11.400,17.890,18.770,53.320,22.010,24.180,50,20
14/09/2023,40,6.440,6.630,7.510,12.210,13.220,5.370,10.750,11.400,17.350,18.230,52.460,22.380,24.300,50,10
15/09/2023,40,6.580,6.710,7.590,12.300,13.280,5.400,11.000,11.400,17.300,17.890,53.080,21.810,24.020,40,20
16/09/2023,40,6.460,6.680,7.520,12.240,13.330,5.250,10.750,11.400,17.300,17.950,52.910,21.890,24.260,60,20
17/09/2023,40,6.510,6.720,7.530,12.300,13.350,5.360,10.750,11.930,17.680,17.310,52.630,21.890,24.320,40,20
18/09/2023,40,6.510,6.690,7.540,12.270,13.200,5.440,10.750,11.400,18.020,18.030,52.810,21.740,24.310,50,10
19/09/2023,40,6.460,6.700,7.650,12.310,13.260,5.480,10.850,11.400,17.160,18.050,52.880,21.980,23.820,60,10
20/09/2023,40,6.530,6.730,7.760,12.350,13.300,5.520,11.500,11.400,17.380,18.200,52.520,21.690,24.000,70,10
21/09/2023,40,6.460,6.760,7.730,12.380,13.340,5.380,11.090,11.400,17.460,18.580,52.740,21.480,23.490,60,10
22/09/2023,40,6.460,6.750,7.680,12.430,13.340,5.390,10.990,11.700,17.570,17.870,53.260,21.440,23.480,60,20
23/09/2023,40,6.490,6.750,7.690,12.450,13.400,5.480,10.990,11.750,17.040,18.020,52.070,22.190,23.450,60,10
24/09/2023,40,6.530,6.790,7.700,12.480,13.500,5.470,11.500,11.750,17.140,18.510,52.880,21.950,23.490,90,20
25/09/2023,40,6.700,6.810,7.720,12.500,13.420,5.550,10.990,11.400,18.010,19.630,52.880,21.830,23.250,70,10
26/09/2023,40,6.620,6.810,7.710,12.470,13.400,5.680,10.990,11.400,18.470,20.190,52.810,21.870,23.190,80,10
27/09/2023,40,6.640,6.800,7.800,12.580,13.420,5.600,10.990,11.580,19.150,20.500,52.940,21.840,23.610,70,10
28/09/2023,30,6.440,6.840,7.780,12.570,13.450,5.620,10.990,11.400,19.120,19.450,52.810,21.980,23.290,80,20
29/09/2023,30,6.260,6.710,7.720,12.600,13.490,5.660,10.990,11.400,19.170,18.480,52.720,22.120,23.110,110,20
30/09/2023,10,6.420,6.820,7.840,12.670,13.300,5.680,11.500,11.700,20.340,18.360,52.940,22.130,23.200,70,10
01/10/2023,30,6.410,6.850,7.740,12.570,13.350,5.650,10.990,11.400,20.420,18.600,52.810,22.120,22.930,80,10
02/10/2023,30,6.410,6.830,7.790,12.600,13.420,5.720,10.990,11.400,20.580,20.880,52.810,22.340,23.070,60,10
