iter	Passed	Remaining
703	1163	489
704	1164	487
705	1166	485
706	1167	484
707	1169	482
708	1171	480
709	1172	479
710	1174	477
711	1176	475
712	1177	474
713	1179	472
714	1180	470
715	1182	469
716	1184	467
717	1185	465
718	1187	464
719	1188	462
720	1190	460
721	1192	459
722	1193	457
723	1195	455
724	1197	454
725	1198	452
726	1200	450
727	1202	449
728	1203	447
729	1205	445
730	1206	444
731	1208	442
732	1210	440
733	1211	439
734	1213	437
735	1215	435
736	1216	434
737	1218	432
738	1219	430
739	1221	429
740	1222	427
741	1224	425
742	1226	424
743	1227	422
744	1229	420
745	1231	419
746	1232	417
747	1234	415
748	1235	414
749	1237	412
750	1239	410
751	1240	409
752	1242	407
753	1243	405
754	1245	404
755	1247	402
756	1248	400
757	1250	399
758	1251	397
759	1253	395
760	1255	394
761	1256	392
762	1258	390
763	1259	389
764	1261	387
765	1263	385
766	1264	384
767	1266	382
768	1267	380
769	1269	379
770	1271	377
771	1272	375
772	1274	374
773	1275	372
774	1277	370
775	1279	369
776	1280	367
777	1282	365
778	1283	364
779	1285	362
780	1287	360
781	1288	359
782	1290	357
783	1291	355
784	1293	354
785	1294	352
786	1296	350
787	1298	349
788	1299	347
789	1301	345
790	1302	344
791	1304	342
792	1305	340
793	1307	339
794	1309	337
795	1310	335
796	1312	334
797	1313	332
798	1315	330
799	1317	329
800	1318	327
801	1320	326
802	1322	324
803	1323	322
804	1325	321
805	1326	319
806	1328	317
807	1330	316
808	1331	314
809	1333	312
810	1334	311
811	1336	309
812	1338	307
813	1339	306
814	1341	304
815	1343	302
816	1344	301
817	1346	299
818	1348	297
819	1349	296
820	1351	294
821	1353	293
822	1354	291
823	1356	289
824	1358	288
825	1359	286
826	1361	284
827	1362	283
828	1364	281
829	1366	279
830	1367	278
831	1369	276
832	1370	274
833	1372	273
834	1374	271
835	1376	269
836	1377	268
837	1379	266
838	1380	264
839	1382	263
840	1383	261
841	1385	259
842	1387	258
843	1388	256
844	1390	255
845	1392	253
846	1393	251
847	1395	250
848	1396	248
849	1398	246
850	1400	245
851	1401	243
852	1403	241
853	1404	240
854	1406	238
855	1408	236
856	1409	235
857	1411	233
858	1413	231
859	1414	230
860	1416	228
861	1417	227
862	1419	225
863	1421	223
864	1422	222
865	1424	220
866	1426	218
867	1427	217
868	1429	215
869	1430	213
870	1432	212
871	1433	210
872	1435	208
873	1437	207
874	1438	205
875	1440	203
876	1442	202
877	1443	200
878	1445	198
879	1446	197
880	1448	195
881	1450	194
882	1451	192
883	1453	190
884	1455	189
885	1456	187
886	1458	185
887	1460	184
888	1461	182
889	1463	180
890	1464	179
891	1466	177
892	1468	175
893	1469	174
894	1471	172
895	1473	170
896	1474	169
897	1476	167
898	1477	166
899	1479	164
900	1481	162
901	1482	161
902	1484	159
903	1486	157
904	1487	156
905	1489	154
906	1490	152
907	1492	151
908	1494	149
909	1495	147
910	1497	146
911	1498	144
912	1500	142
913	1502	141
914	1503	139
915	1505	138
916	1507	136
917	1508	134
918	1510	133
919	1511	131
920	1513	129
921	1514	128
922	1516	126
923	1518	124
924	1520	123
925	1521	121
926	1523	119
927	1525	118
928	1526	116
929	1528	115
930	1529	113
931	1531	111
932	1533	110
933	1534	108
934	1536	106
935	1537	105
936	1539	103
937	1541	101
938	1542	100
939	1544	98
940	1545	96
941	1547	95
942	1549	93
943	1551	92
944	1552	90
945	1554	88
946	1555	87
947	1557	85
948	1559	83
949	1560	82
950	1562	80
951	1564	78
952	1565	77
953	1567	75
954	1568	73
955	1570	72
956	1572	70
957	1573	68
958	1575	67
959	1576	65
960	1578	64
961	1579	62
962	1581	60
963	1583	59
964	1584	57
965	1586	55
966	1588	54
967	1589	52
968	1591	50
969	1592	49
970	1594	47
971	1596	45
972	1597	44
973	1599	42
974	1601	41
975	1602	39
976	1604	37
977	1605	36
978	1607	34
979	1609	32
980	1610	31
981	1612	29
982	1613	27
983	1615	26
984	1617	24
985	1618	22
986	1620	21
987	1622	19
988	1623	18
989	1625	16
990	1626	14
991	1628	13
992	1630	11
993	1631	9
994	1633	8
995	1634	6
996	1636	4
997	1638	3
998	1639	1
999	1641	0
