iter	RMSE
0	461.2575951
1	419.359225
2	381.0541532
3	346.511453
4	314.7535961
5	287.1330594
6	261.6440898
7	238.0600579
8	216.8637162
9	198.4682125
10	181.3248618
11	166.171726
12	152.3603079
13	139.9973361
14	128.914404
15	119.1560813
16	110.3656583
17	102.7177848
18	95.28706427
19	88.98513908
20	83.33650132
21	78.49631385
22	74.38076354
23	70.66842348
24	67.23928059
25	64.19727526
26	61.67321779
27	59.39074012
28	57.37804329
29	55.80850186
30	54.30571885
31	52.82426082
32	51.65904233
33	50.69182694
34	49.72239308
35	48.81363605
36	48.09527183
37	47.44779238
38	46.92254312
39	46.48550705
40	46.047378
41	45.67472944
42	45.38447994
43	45.02373325
44	44.72612735
45	44.3996969
46	44.06212079
47	43.84290368
48	43.60590152
49	43.41238593
50	43.22437532
51	43.03462588
52	42.80628566
53	42.68322881
54	42.52618902
55	42.29491394
56	42.09721811
57	41.72558183
58	41.5240785
59	41.21942811
60	40.85116622
61	40.68509761
62	40.5766392
63	40.45751071
64	40.21588817
65	40.00037951
66	39.90657467
67	39.71259195
68	39.6091525
69	39.41912875
70	39.34621256
71	39.28342507
72	39.26412422
73	39.14104261
74	39.09637006
75	39.08946396
76	38.88758961
77	38.82141969
78	38.74263678
79	38.47572774
80	38.36472666
81	38.29483693
82	38.25521798
83	38.19230423
84	38.00429661
85	37.96083038
86	37.79532685
87	37.71553523
88	37.64545423
89	37.48096107
90	37.33426275
91	37.17503363
92	37.11782763
93	36.92498189
94	36.81305251
95	36.71180583
96	36.58609891
97	36.54779835
98	36.51390291
99	36.49065957
100	36.36009336
101	36.33860978
102	36.3176797
103	36.16278362
104	36.05672693
105	35.96377952
106	35.94341782
107	35.80042909
108	35.6457839
109	35.5588368
110	35.54119705
111	35.41456418
112	35.29406501
113	35.2751911
114	35.17637037
115	35.0493041
116	34.97869799
117	34.85555388
118	34.75756717
119	34.68467231
120	34.5944406
121	34.51073465
122	34.49881224
123	34.43652911
124	34.31984592
125	34.26340868
126	34.15777451
127	34.1056515
128	34.00547986
129	33.91413611
130	33.85389719
131	33.80665155
132	33.72065841
133	33.66049534
134	33.64426448
135	33.55681297
136	33.50825104
137	33.49387932
138	33.45051102
139	33.37392954
140	33.33288704
141	33.29103724
142	33.20019073
143	33.16320491
144	33.15403197
145	33.0856722
146	33.0773443
147	33.01296722
148	32.93261805
149	32.85968509
150	32.79610412
151	32.73728769
152	32.68411197
153	32.67826648
154	32.67009058
155	32.63926859
156	32.57730771
157	32.54414767
158	32.51764003
159	32.51263972
160	32.45664579
161	32.42130001
162	32.39441362
163	32.33055391
164	32.27916267
165	32.24994592
166	32.20100023
167	32.19661911
168	32.16931829
169	32.15491096
170	32.12078042
171	32.10280342
172	32.07110253
173	32.05267466
174	32.02354769
175	31.98491463
176	31.94722098
177	31.92067837
178	31.89391967
179	31.85667939
180	31.83097555
181	31.80095633
182	31.78200581
183	31.75716958
184	31.73410668
185	31.71876099
186	31.69057622
187	31.66928163
188	31.66541034
189	31.65070707
190	31.63107138
191	31.62135795
192	31.60925522
193	31.58020371
194	31.56594786
195	31.53385559
196	31.5173579
197	31.50470202
198	31.49188455
199	31.47379672
200	31.4592977
201	31.43470715
202	31.42004525
203	31.40034895
204	31.38565594
205	31.37737991
206	31.36198063
207	31.34766424
208	31.34012431
209	31.3216995
210	31.3178948
211	31.30124404
212	31.28310902
213	31.27475594
214	31.2654138
215	31.26154498
216	31.23924368
217	31.23110179
218	31.21633968
219	31.20511881
220	31.19480134
221	31.18115005
222	31.16684819
223	31.15627847
224	31.1439211
225	31.13250655
226	31.12592712
227	31.11722677
228	31.10846209
229	31.09899924
230	31.0854676
231	31.07658707
232	31.067724
233	31.05746748
234	31.04564286
235	31.03385215
236	31.02808357
237	31.0200213
238	31.01367274
239	31.00423541
240	30.99649885
241	30.98771471
242	30.98085631
243	30.97035643
244	30.96563193
245	30.95857749
246	30.95275045
247	30.9496252
248	30.94410673
249	30.93632561
250	30.93006268
251	30.92238383
252	30.91971774
253	30.91344099
254	30.90425737
255	30.89774115
256	30.89308351
257	30.89072691
258	30.88355652
259	30.87425041
260	30.86839982
261	30.86274422
262	30.86089834
263	30.85535027
264	30.84996677
265	30.84500493
266	30.84002942
267	30.83550951
268	30.8272296
269	30.82216198
270	30.81487421
271	30.80905717
272	30.80232733
273	30.79682939
274	30.79338835
275	30.79058214
276	30.78514663
277	30.77891538
278	30.7717365
279	30.76828665
280	30.76651268
281	30.76177128
282	30.75784042
283	30.75423427
284	30.75091429
285	30.74575964
286	30.73982757
287	30.73522104
288	30.73193907
289	30.7288994
290	30.72192146
291	30.71625101
292	30.71346189
293	30.711456
294	30.70893491
295	30.7049709
296	30.70175216
297	30.69849864
298	30.69440882
299	30.69188614
300	30.68910039
301	30.68433823
302	30.68000472
303	30.67724383
304	30.67432574
305	30.67230098
306	30.6704717
307	30.66518868
308	30.66071549
309	30.65743548
310	30.65606533
311	30.65500815
312	30.65187036
313	30.64554777
314	30.64032459
315	30.63674775
316	30.63294128
317	30.63070022
318	30.62780403
319	30.62620195
320	30.62235536
321	30.62006521
322	30.61725299
323	30.61256698
324	30.61003407
325	30.60807156
326	30.60520229
327	30.60222061
328	30.59976328
329	30.59618152
330	30.59402118
331	30.59307232
332	30.58879951
333	30.58676136
334	30.58433914
335	30.58254266
336	30.5813179
337	30.5802017
338	30.57828761
339	30.57675033
340	30.57367027
341	30.57173568
342	30.57101554
343	30.56669094
344	30.56599842
345	30.56395028
346	30.56327933
347	30.56139111
348	30.55900623
349	30.55661462
350	30.55493847
351	30.55313613
352	30.55153702
353	30.55107401
354	30.54989612
355	30.54809451
356	30.54697029
357	30.54526786
358	30.54219398
359	30.53960641
360	30.53887701
361	30.53762608
362	30.53628323
363	30.53515103
364	30.53448189
365	30.53413438
366	30.53258754
367	30.53119389
368	30.52975288
369	30.52909013
370	30.52854889
371	30.5265716
372	30.52617787
373	30.52579314
374	30.52548753
375	30.52406943
376	30.52255368
377	30.52077372
378	30.51743442
379	30.51615165
380	30.51429731
381	30.51398859
382	30.51273721
383	30.51178869
384	30.50929613
385	30.50884783
386	30.50739691
387	30.50636611
388	30.50533018
389	30.50418279
390	30.50353077
391	30.5025835
392	30.50094275
393	30.49953605
394	30.49923996
395	30.49768324
396	30.49717923
397	30.49662793
398	30.49375564
399	30.49231188
400	30.49186124
401	30.49087549
402	30.48999285
403	30.48881638
404	30.48843899
405	30.48708583
406	30.48576429
407	30.48544511
408	30.48403118
409	30.48310787
410	30.48286702
411	30.48211708
412	30.48147031
413	30.47933204
414	30.47865228
415	30.47651554
416	30.47536668
417	30.47346796
418	30.4713895
419	30.4711117
420	30.46998014
421	30.46781352
422	30.46720068
423	30.46635712
424	30.46539634
425	30.46484286
426	30.46456664
427	30.4638779
428	30.46337268
429	30.46291061
430	30.46269848
431	30.46140784
432	30.45980388
433	30.4588313
434	30.45863518
435	30.4578005
436	30.45757357
437	30.45547285
438	30.45513643
439	30.45420337
440	30.45403878
441	30.45276361
442	30.45178756
443	30.45009093
444	30.44976177
